query_gallery_id,query_path,gallery_id,gallery_path,rank,distance
bzrrcb,bzrrcb,11jtv4,11jtv4,1,0.27958035469055176
bzrrcb,bzrrcb,na66z1,na66z1,2,0.5759119391441345
bzrrcb,bzrrcb,2f8nt3,2f8nt3,3,0.6693446636199951
bzrrcb,bzrrcb,9apgh9,9apgh9,4,0.6897276639938354
bzrrcb,bzrrcb,13ji16,13ji16,5,0.7148629426956177
bzrrcb,bzrrcb,xt44yc,xt44yc,6,0.7460813522338867
bzrrcb,bzrrcb,lozef6,lozef6,7,0.7497161626815796
bzrrcb,bzrrcb,fb23kd,fb23kd,8,0.7499179244041443
bzrrcb,bzrrcb,i3e6z5,i3e6z5,9,0.7844979763031006
bzrrcb,bzrrcb,mnxmx4,mnxmx4,10,0.8634004592895508
bzrrcb,bzrrcb,bo9ct1,bo9ct1,11,0.864668607711792
bzrrcb,bzrrcb,sbbxzg,sbbxzg,12,0.8801445364952087
bzrrcb,bzrrcb,lb8oq4,lb8oq4,13,0.9410161375999451
bzrrcb,bzrrcb,sg7er2,sg7er2,14,0.9465855360031128
bzrrcb,bzrrcb,silzf0,silzf0,15,0.9607000946998596
bzrrcb,bzrrcb,9sen8g,9sen8g,16,0.9700950384140015
bzrrcb,bzrrcb,ax126d,ax126d,17,0.9775568842887878
bzrrcb,bzrrcb,wrjeta,wrjeta,18,1.0219135284423828
bzrrcb,bzrrcb,0k9b61,0k9b61,19,1.0349793434143066
bzrrcb,bzrrcb,b2cnae,b2cnae,20,1.0561716556549072
bzrrcb,bzrrcb,yp698d,yp698d,21,1.1002440452575684
bzrrcb,bzrrcb,ry3kpf,ry3kpf,22,1.1184107065200806
bzrrcb,bzrrcb,4r1cj2,4r1cj2,23,1.1345444917678833
bzrrcb,bzrrcb,0hsu18,0hsu18,24,1.135723352432251
bzrrcb,bzrrcb,adn1w9,adn1w9,25,1.1513665914535522
bzrrcb,bzrrcb,1qo3p4,1qo3p4,26,1.175337553024292
bzrrcb,bzrrcb,0t2x07,0t2x07,27,1.1810170412063599
bzrrcb,bzrrcb,wupldg,wupldg,28,1.2282357215881348
bzrrcb,bzrrcb,r9unl5,r9unl5,29,1.2331639528274536
bzrrcb,bzrrcb,ucbf24,ucbf24,30,1.244334101676941
bzrrcb,bzrrcb,ta9n91,ta9n91,31,1.2535114288330078
bzrrcb,bzrrcb,tgado9,tgado9,32,1.2549934387207031
bzrrcb,bzrrcb,k492z8,k492z8,33,1.2558566331863403
bzrrcb,bzrrcb,mr8gde,mr8gde,34,1.2759531736373901
bzrrcb,bzrrcb,283qff,283qff,35,1.2875983715057373
bzrrcb,bzrrcb,jiq8kf,jiq8kf,36,1.288949966430664
bzrrcb,bzrrcb,6b73hd,6b73hd,37,1.2914373874664307
bzrrcb,bzrrcb,bucrz0,bucrz0,38,1.2937980890274048
bzrrcb,bzrrcb,r3zoy3,r3zoy3,39,1.2941335439682007
bzrrcb,bzrrcb,05gks1,05gks1,40,1.3110464811325073
bzrrcb,bzrrcb,w6rik0,w6rik0,41,1.3136229515075684
bzrrcb,bzrrcb,mjqrv3,mjqrv3,42,1.3155714273452759
bzrrcb,bzrrcb,oi7f75,oi7f75,43,1.3180654048919678
bzrrcb,bzrrcb,25ynt9,25ynt9,44,1.3231194019317627
bzrrcb,bzrrcb,lptit1,lptit1,45,1.3309506177902222
bzrrcb,bzrrcb,wst9u2,wst9u2,46,1.3351426124572754
bzrrcb,bzrrcb,fzpn5c,fzpn5c,47,1.3371827602386475
bzrrcb,bzrrcb,uv14j3,uv14j3,48,1.346980094909668
bzrrcb,bzrrcb,ne9zbe,ne9zbe,49,1.3511931896209717
bzrrcb,bzrrcb,juz9af,juz9af,50,1.35340416431427
bzrrcb,bzrrcb,2fv2sd,2fv2sd,51,1.3611592054367065
bzrrcb,bzrrcb,bkkl0c,bkkl0c,52,1.3643380403518677
bzrrcb,bzrrcb,uses8h,uses8h,53,1.3664606809616089
bzrrcb,bzrrcb,6emeza,6emeza,54,1.3717964887619019
bzrrcb,bzrrcb,l58ew3,l58ew3,55,1.372661828994751
bzrrcb,bzrrcb,qma812,qma812,56,1.3729463815689087
bzrrcb,bzrrcb,n888te,n888te,57,1.3732882738113403
bzrrcb,bzrrcb,t9dx7c,t9dx7c,58,1.3736605644226074
bzrrcb,bzrrcb,mp5t2d,mp5t2d,59,1.3743711709976196
bzrrcb,bzrrcb,q9pqsc,q9pqsc,60,1.3769491910934448
bzrrcb,bzrrcb,gzkks4,gzkks4,61,1.377035140991211
bzrrcb,bzrrcb,6plhha,6plhha,62,1.378419280052185
bzrrcb,bzrrcb,xu1w2c,xu1w2c,63,1.3787528276443481
bzrrcb,bzrrcb,ebide1,ebide1,64,1.3870874643325806
bzrrcb,bzrrcb,pk7p58,pk7p58,65,1.387852668762207
bzrrcb,bzrrcb,rlqyn4,rlqyn4,66,1.3882306814193726
bzrrcb,bzrrcb,tdrsi9,tdrsi9,67,1.3920899629592896
bzrrcb,bzrrcb,qsb7h2,qsb7h2,68,1.3941247463226318
bzrrcb,bzrrcb,wjqh5d,wjqh5d,69,1.3961153030395508
bzrrcb,bzrrcb,bp1br5,bp1br5,70,1.3963438272476196
bzrrcb,bzrrcb,s28c70,s28c70,71,1.3976292610168457
bzrrcb,bzrrcb,enbzv2,enbzv2,72,1.4034488201141357
bzrrcb,bzrrcb,da80r6,da80r6,73,1.4053400754928589
bzrrcb,bzrrcb,veybp4,veybp4,74,1.40781831741333
bzrrcb,bzrrcb,ncg9h2,ncg9h2,75,1.4081343412399292
bzrrcb,bzrrcb,12u6g7,12u6g7,76,1.4090518951416016
bzrrcb,bzrrcb,wqykfg,wqykfg,77,1.410559892654419
bzrrcb,bzrrcb,oflzp6,oflzp6,78,1.4106708765029907
bzrrcb,bzrrcb,f74hqg,f74hqg,79,1.4165953397750854
bzrrcb,bzrrcb,eflvh7,eflvh7,80,1.4180651903152466
bzrrcb,bzrrcb,e8g7w3,e8g7w3,81,1.4313629865646362
bzrrcb,bzrrcb,vis5r4,vis5r4,82,1.4348756074905396
bzrrcb,bzrrcb,laiyxf,laiyxf,83,1.4351677894592285
bzrrcb,bzrrcb,n1exr3,n1exr3,84,1.435982346534729
bzrrcb,bzrrcb,k398h6,k398h6,85,1.4390681982040405
bzrrcb,bzrrcb,hge2u2,hge2u2,86,1.4468421936035156
bzrrcb,bzrrcb,pv90nb,pv90nb,87,1.447728157043457
bzrrcb,bzrrcb,jv45be,jv45be,88,1.4484572410583496
bzrrcb,bzrrcb,wnlyeb,wnlyeb,89,1.4487919807434082
bzrrcb,bzrrcb,7pjgw2,7pjgw2,90,1.452003836631775
bzrrcb,bzrrcb,tsg3y1,tsg3y1,91,1.452481985092163
bzrrcb,bzrrcb,gx16i7,gx16i7,92,1.4530659914016724
bzrrcb,bzrrcb,gnf1da,gnf1da,93,1.453202724456787
bzrrcb,bzrrcb,u0cvy9,u0cvy9,94,1.4546629190444946
bzrrcb,bzrrcb,n9dpga,n9dpga,95,1.4583256244659424
bzrrcb,bzrrcb,ixawn1,ixawn1,96,1.460283637046814
bzrrcb,bzrrcb,65zcle,65zcle,97,1.4621495008468628
bzrrcb,bzrrcb,sghqpc,sghqpc,98,1.4628807306289673
bzrrcb,bzrrcb,z8z5nd,z8z5nd,99,1.4640477895736694
bzrrcb,bzrrcb,dkr9la,dkr9la,100,1.4665765762329102
bzrrcb,bzrrcb,pasj9d,pasj9d,101,1.466598391532898
bzrrcb,bzrrcb,ccb5v8,ccb5v8,102,1.4681111574172974
bzrrcb,bzrrcb,i1rsoh,i1rsoh,103,1.4703449010849
bzrrcb,bzrrcb,zendab,zendab,104,1.4718713760375977
bzrrcb,bzrrcb,ay2ic4,ay2ic4,105,1.4723907709121704
bzrrcb,bzrrcb,wngi78,wngi78,106,1.4727126359939575
bzrrcb,bzrrcb,yteg47,yteg47,107,1.473223328590393
bzrrcb,bzrrcb,4smcuf,4smcuf,108,1.4765993356704712
bzrrcb,bzrrcb,a8w9ib,a8w9ib,109,1.4810479879379272
bzrrcb,bzrrcb,bwiv5b,bwiv5b,110,1.4812297821044922
bzrrcb,bzrrcb,yzvnd4,yzvnd4,111,1.4832652807235718
bzrrcb,bzrrcb,39k540,39k540,112,1.4833651781082153
bzrrcb,bzrrcb,55ffwb,55ffwb,113,1.4834799766540527
bzrrcb,bzrrcb,5v145b,5v145b,114,1.4845856428146362
bzrrcb,bzrrcb,aoy4db,aoy4db,115,1.4860504865646362
bzrrcb,bzrrcb,85ows9,85ows9,116,1.4891871213912964
bzrrcb,bzrrcb,hczvl7,hczvl7,117,1.4895557165145874
bzrrcb,bzrrcb,kcgan1,kcgan1,118,1.4916185140609741
bzrrcb,bzrrcb,tql03c,tql03c,119,1.4943132400512695
bzrrcb,bzrrcb,4dex9b,4dex9b,120,1.4953553676605225
bzrrcb,bzrrcb,m44qh7,m44qh7,121,1.497774600982666
bzrrcb,bzrrcb,svyrr0,svyrr0,122,1.5032849311828613
bzrrcb,bzrrcb,mmzaec,mmzaec,123,1.5038498640060425
bzrrcb,bzrrcb,ohx7qe,ohx7qe,124,1.5040316581726074
bzrrcb,bzrrcb,773yqc,773yqc,125,1.5056589841842651
bzrrcb,bzrrcb,zqs1qf,zqs1qf,126,1.508660078048706
bzrrcb,bzrrcb,jilxp3,jilxp3,127,1.5091311931610107
bzrrcb,bzrrcb,lletye,lletye,128,1.5107593536376953
bzrrcb,bzrrcb,u31kk9,u31kk9,129,1.512708306312561
bzrrcb,bzrrcb,k7tkj1,k7tkj1,130,1.5153138637542725
bzrrcb,bzrrcb,ab6z4c,ab6z4c,131,1.518306016921997
bzrrcb,bzrrcb,12isy9,12isy9,132,1.5188188552856445
bzrrcb,bzrrcb,lm2no9,lm2no9,133,1.5209004878997803
bzrrcb,bzrrcb,40yjc4,40yjc4,134,1.5224120616912842
bzrrcb,bzrrcb,a6ggjb,a6ggjb,135,1.5258185863494873
bzrrcb,bzrrcb,7bxc2e,7bxc2e,136,1.529117465019226
bzrrcb,bzrrcb,z73l2a,z73l2a,137,1.5297017097473145
bzrrcb,bzrrcb,46pyg0,46pyg0,138,1.5305215120315552
bzrrcb,bzrrcb,magt44,magt44,139,1.5321186780929565
bzrrcb,bzrrcb,3wacgc,3wacgc,140,1.5352991819381714
bzrrcb,bzrrcb,mp36z7,mp36z7,141,1.540310263633728
bzrrcb,bzrrcb,4w8s1f,4w8s1f,142,1.542108416557312
bzrrcb,bzrrcb,qdapx4,qdapx4,143,1.5423011779785156
bzrrcb,bzrrcb,kfp7b8,kfp7b8,144,1.5462573766708374
bzrrcb,bzrrcb,zphpp2,zphpp2,145,1.5493378639221191
bzrrcb,bzrrcb,g3gbk0,g3gbk0,146,1.5499366521835327
bzrrcb,bzrrcb,7apngc,7apngc,147,1.5512428283691406
bzrrcb,bzrrcb,38zz45,38zz45,148,1.5524101257324219
bzrrcb,bzrrcb,r4r1j0,r4r1j0,149,1.5544722080230713
bzrrcb,bzrrcb,tvgkph,tvgkph,150,1.5580412149429321
bzrrcb,bzrrcb,rquo14,rquo14,151,1.5593812465667725
bzrrcb,bzrrcb,djwkkh,djwkkh,152,1.5598962306976318
bzrrcb,bzrrcb,mt0c58,mt0c58,153,1.5607657432556152
bzrrcb,bzrrcb,hjskq6,hjskq6,154,1.5629498958587646
bzrrcb,bzrrcb,ele7qd,ele7qd,155,1.5648939609527588
bzrrcb,bzrrcb,c22iyc,c22iyc,156,1.5672838687896729
bzrrcb,bzrrcb,3sa3ah,3sa3ah,157,1.5673543214797974
bzrrcb,bzrrcb,elcnk6,elcnk6,158,1.5698237419128418
bzrrcb,bzrrcb,bhnvq6,bhnvq6,159,1.5705907344818115
bzrrcb,bzrrcb,gd74b6,gd74b6,160,1.5754464864730835
bzrrcb,bzrrcb,18vuoa,18vuoa,161,1.5770448446273804
bzrrcb,bzrrcb,a1rs72,a1rs72,162,1.5774458646774292
bzrrcb,bzrrcb,6j6smg,6j6smg,163,1.5790107250213623
bzrrcb,bzrrcb,e4opda,e4opda,164,1.5798280239105225
bzrrcb,bzrrcb,dyttp1,dyttp1,165,1.5831657648086548
bzrrcb,bzrrcb,kdxq7g,kdxq7g,166,1.583259105682373
bzrrcb,bzrrcb,jgwthh,jgwthh,167,1.5862160921096802
bzrrcb,bzrrcb,ox0fic,ox0fic,168,1.5871434211730957
bzrrcb,bzrrcb,pkas6f,pkas6f,169,1.5874634981155396
bzrrcb,bzrrcb,oz0m41,oz0m41,170,1.594555377960205
bzrrcb,bzrrcb,lx4sqg,lx4sqg,171,1.5966448783874512
bzrrcb,bzrrcb,3q1qg4,3q1qg4,172,1.5995814800262451
bzrrcb,bzrrcb,09aux4,09aux4,173,1.6000730991363525
bzrrcb,bzrrcb,ilgq44,ilgq44,174,1.6189812421798706
bzrrcb,bzrrcb,z0khd6,z0khd6,175,1.632507562637329
bzrrcb,bzrrcb,k18xw3,k18xw3,176,1.6364620923995972
bzrrcb,bzrrcb,2m19e9,2m19e9,177,1.6383575201034546
bzrrcb,bzrrcb,mt8q19,mt8q19,178,1.6389787197113037
bzrrcb,bzrrcb,w4le13,w4le13,179,1.6444302797317505
bzrrcb,bzrrcb,c0c0f1,c0c0f1,180,1.6471070051193237
bzrrcb,bzrrcb,4ecpph,4ecpph,181,1.656677007675171
bzrrcb,bzrrcb,8q5ypa,8q5ypa,182,1.661468505859375
bzrrcb,bzrrcb,i8sxka,i8sxka,183,1.6618014574050903
bzrrcb,bzrrcb,54tb37,54tb37,184,1.6621299982070923
bzrrcb,bzrrcb,4m9xdf,4m9xdf,185,1.6713367700576782
bzrrcb,bzrrcb,jybxe3,jybxe3,186,1.6715087890625
bzrrcb,bzrrcb,galyr6,galyr6,187,1.6759364604949951
bzrrcb,bzrrcb,h106l5,h106l5,188,1.6781779527664185
bzrrcb,bzrrcb,uu64m1,uu64m1,189,1.6796025037765503
bzrrcb,bzrrcb,8rqg81,8rqg81,190,1.6812580823898315
bzrrcb,bzrrcb,tmfhaf,tmfhaf,191,1.6819008588790894
bzrrcb,bzrrcb,b3shr8,b3shr8,192,1.6870012283325195
bzrrcb,bzrrcb,ywk5fd,ywk5fd,193,1.6895477771759033
bzrrcb,bzrrcb,1g1zt6,1g1zt6,194,1.6924121379852295
bzrrcb,bzrrcb,l4c4u0,l4c4u0,195,1.7000107765197754
bzrrcb,bzrrcb,0vsv36,0vsv36,196,1.7125537395477295
bzrrcb,bzrrcb,b8kvq3,b8kvq3,197,1.7164076566696167
bzrrcb,bzrrcb,s8o6f6,s8o6f6,198,1.7184085845947266
bzrrcb,bzrrcb,xgkfg2,xgkfg2,199,1.7207008600234985
bzrrcb,bzrrcb,nu639a,nu639a,200,1.7240372896194458
bzrrcb,bzrrcb,umbqqb,umbqqb,201,1.7522202730178833
bzrrcb,bzrrcb,iplat0,iplat0,202,1.7688937187194824
bzrrcb,bzrrcb,c1cvaf,c1cvaf,203,1.7949693202972412
na66z1,na66z1,9sen8g,9sen8g,1,0.5204355716705322
na66z1,na66z1,bzrrcb,bzrrcb,2,0.5759119391441345
na66z1,na66z1,lb8oq4,lb8oq4,3,0.5769934058189392
na66z1,na66z1,2f8nt3,2f8nt3,4,0.6725894808769226
na66z1,na66z1,b2cnae,b2cnae,5,0.7378730177879333
na66z1,na66z1,ax126d,ax126d,6,0.7475534081459045
na66z1,na66z1,4r1cj2,4r1cj2,7,0.7553014755249023
na66z1,na66z1,ry3kpf,ry3kpf,8,0.7744470834732056
na66z1,na66z1,bo9ct1,bo9ct1,9,0.7977226972579956
na66z1,na66z1,11jtv4,11jtv4,10,0.7993210554122925
na66z1,na66z1,0k9b61,0k9b61,11,0.8164436221122742
na66z1,na66z1,r9unl5,r9unl5,12,0.8271642327308655
na66z1,na66z1,wrjeta,wrjeta,13,0.836370050907135
na66z1,na66z1,xt44yc,xt44yc,14,0.8584133386611938
na66z1,na66z1,0t2x07,0t2x07,15,0.8590415120124817
na66z1,na66z1,fb23kd,fb23kd,16,0.8738760352134705
na66z1,na66z1,sbbxzg,sbbxzg,17,0.9075188636779785
na66z1,na66z1,i3e6z5,i3e6z5,18,0.9305061101913452
na66z1,na66z1,13ji16,13ji16,19,0.9334468245506287
na66z1,na66z1,wst9u2,wst9u2,20,0.9509685039520264
na66z1,na66z1,silzf0,silzf0,21,0.9653531908988953
na66z1,na66z1,yp698d,yp698d,22,1.0236297845840454
na66z1,na66z1,tgado9,tgado9,23,1.0271224975585938
na66z1,na66z1,eflvh7,eflvh7,24,1.033569097518921
na66z1,na66z1,wnlyeb,wnlyeb,25,1.0437350273132324
na66z1,na66z1,9apgh9,9apgh9,26,1.04489004611969
na66z1,na66z1,jiq8kf,jiq8kf,27,1.0469266176223755
na66z1,na66z1,w6rik0,w6rik0,28,1.0633991956710815
na66z1,na66z1,tsg3y1,tsg3y1,29,1.0656088590621948
na66z1,na66z1,i1rsoh,i1rsoh,30,1.0681657791137695
na66z1,na66z1,sg7er2,sg7er2,31,1.0719763040542603
na66z1,na66z1,dkr9la,dkr9la,32,1.0784010887145996
na66z1,na66z1,tql03c,tql03c,33,1.1176573038101196
na66z1,na66z1,5v145b,5v145b,34,1.1215440034866333
na66z1,na66z1,1qo3p4,1qo3p4,35,1.1422001123428345
na66z1,na66z1,7bxc2e,7bxc2e,36,1.1429649591445923
na66z1,na66z1,ccb5v8,ccb5v8,37,1.1493382453918457
na66z1,na66z1,mnxmx4,mnxmx4,38,1.1531518697738647
na66z1,na66z1,wupldg,wupldg,39,1.1617108583450317
na66z1,na66z1,adn1w9,adn1w9,40,1.1655089855194092
na66z1,na66z1,n1exr3,n1exr3,41,1.1706377267837524
na66z1,na66z1,lozef6,lozef6,42,1.171891689300537
na66z1,na66z1,juz9af,juz9af,43,1.1790833473205566
na66z1,na66z1,wqykfg,wqykfg,44,1.1799627542495728
na66z1,na66z1,zphpp2,zphpp2,45,1.181159496307373
na66z1,na66z1,25ynt9,25ynt9,46,1.1925758123397827
na66z1,na66z1,6b73hd,6b73hd,47,1.1960912942886353
na66z1,na66z1,773yqc,773yqc,48,1.197536587715149
na66z1,na66z1,uses8h,uses8h,49,1.2053983211517334
na66z1,na66z1,ucbf24,ucbf24,50,1.2155734300613403
na66z1,na66z1,mr8gde,mr8gde,51,1.21981942653656
na66z1,na66z1,pv90nb,pv90nb,52,1.2212735414505005
na66z1,na66z1,gzkks4,gzkks4,53,1.2233293056488037
na66z1,na66z1,7pjgw2,7pjgw2,54,1.229767084121704
na66z1,na66z1,bucrz0,bucrz0,55,1.2350226640701294
na66z1,na66z1,ta9n91,ta9n91,56,1.237188696861267
na66z1,na66z1,q9pqsc,q9pqsc,57,1.2481387853622437
na66z1,na66z1,t9dx7c,t9dx7c,58,1.2490476369857788
na66z1,na66z1,283qff,283qff,59,1.2534246444702148
na66z1,na66z1,qma812,qma812,60,1.2582250833511353
na66z1,na66z1,oi7f75,oi7f75,61,1.2600548267364502
na66z1,na66z1,mp5t2d,mp5t2d,62,1.2600847482681274
na66z1,na66z1,0hsu18,0hsu18,63,1.2652013301849365
na66z1,na66z1,xu1w2c,xu1w2c,64,1.267752766609192
na66z1,na66z1,kfp7b8,kfp7b8,65,1.2686113119125366
na66z1,na66z1,wngi78,wngi78,66,1.280227541923523
na66z1,na66z1,3wacgc,3wacgc,67,1.2870296239852905
na66z1,na66z1,r3zoy3,r3zoy3,68,1.2887626886367798
na66z1,na66z1,lptit1,lptit1,69,1.2889195680618286
na66z1,na66z1,6plhha,6plhha,70,1.2895199060440063
na66z1,na66z1,s28c70,s28c70,71,1.2913457155227661
na66z1,na66z1,pk7p58,pk7p58,72,1.2932367324829102
na66z1,na66z1,fzpn5c,fzpn5c,73,1.2948156595230103
na66z1,na66z1,n9dpga,n9dpga,74,1.3104981184005737
na66z1,na66z1,f74hqg,f74hqg,75,1.3117409944534302
na66z1,na66z1,veybp4,veybp4,76,1.3138550519943237
na66z1,na66z1,z73l2a,z73l2a,77,1.3171731233596802
na66z1,na66z1,ne9zbe,ne9zbe,78,1.3173835277557373
na66z1,na66z1,oz0m41,oz0m41,79,1.3256261348724365
na66z1,na66z1,mjqrv3,mjqrv3,80,1.3265725374221802
na66z1,na66z1,ab6z4c,ab6z4c,81,1.3333263397216797
na66z1,na66z1,wjqh5d,wjqh5d,82,1.3375211954116821
